Greg Anthony
Brian Grant
Brian Shaw
Jim Jackson
Arvydas Sabonis
------ 1998-1999 Sacramento Kings Roster Composition ------
Jerome James
Tariq Abdul-Wahad
Jason Williams
Peja Stojakovic
Corliss Williamson
Lawrence Funderburke
Chris Robinson
Chris Webber
Michael Hawkins
Jon Barry
Oliver Miller
Vernon Maxwell
Vlade Divac
Scot Pollard
------ 1998-1999 San Antonio Spurs Roster Composition ------
Tim Duncan
David Robinson
Steve Kerr
Sean Elliott
Antonio Daniels
Will Perdue
Jerome Kersey
Gerard King
Malik Rose
Andrew Gaze
Brandon Williams
Mario Elie
Jaren Jackson
Avery Johnson
------ 1998-1999 Seattle SuperSonics Roster Composition ------
Jelani McCoy
Vladimir Stepania
Rashard Lewis
Gary Payton
James Cotton
Don MacLean
Vin Baker
Dale Ellis
Hersey Hawkins
Detlef Schrempf
Billy Owens
John Crotty
Olden Polynice
Drew Barry
Aaron Williams
------ 1998-1999 Toronto Raptors Roster Composition ------
Tracy McGrady
Sean Marks
Vince Carter
Micheal Williams
John Thomas
Alvin Williams
Charles Oakley
Kevin Willis
Dee Brown
John Wallace
Doug Christie
Negele Knight
Paul Rogers
Michael Stewart
Reggie Slater
------ 1998-1999 Utah Jazz Roster Composition ------
John Stockton
Jacque Vaughn
Karl Malone
Shandon Anderson
Greg Ostertag
Bryon Russell
Jeff Hornacek
Todd Fuller
Adam Keefe
Howard Eisley
Greg Foster
Thurl Bailey
------ 1998-1999 Vancouver Grizzlies Roster Composition ------
Mike Bibby
Bryant Reeves
J.R. Henderson
Shareef Abdur-Rahim
Felipe Lopez
Michael Smith
Rodrick Rhodes
Tony Massenburg
Doug West
Pete Chilcutt
Cherokee Parks
Terry Dehere
Lee Mayberry
Makhtar N'Diaye
DeJuan Wheat
------ 1998-1999 Washington Wizards Roster Composition ------
Calbert Cheaney
Juwan Howard
Jahidi White
Mitch Richmond
Otis Thorpe
Rod Strickland
Tracy Murray
Lorenzo Williams
Ben Wallace
Chris Whitney
Randell Jackson
John Coker
Jeff McInnis
Tim Legler
Terry Davis
